ANO-MES;PCCA0004;PCCE0057;PCCE0064;PCCE0069;PCCE0074;PCCE0075;PCCE0080;PCCE0081;PCCE0082;PCCE0083;PCCE00VT;PCCH0045;PCCH0082;PCDC0009;PCDC0017;PCDC0018;PCDC0019;PCON0027;PCPE0027;PCPE0030
out/21;1;;;;;;;;;;;;;;;;;;;
jan/22;1;;;;;;;;;;;;;;;;;;;
fev/22;7;;;;;;;;;;;;;;;;;;;
mar/22;1;;;;;;;;;;;;;;;;;;;
jun/22;;;;;;;;;;;;;;1;;;;;;
jul/22;;;;;;;;;;;;;;1;;;;;;
set/22;;;;;1;;;;;;;;;;;;;;;
out/22;;;;;1;;;;;;;;;;;;;;;
nov/22;;;;;1;;;;;;;;;;;;;1;;
dez/22;1;;;;1;;;;;;;;;;;;;1;;
jan/23;;;;;1;1;;;;;;;;;;;;1;;
fev/23;;;;;1;1;;;;;;;;;;;;1;;
mar/23;;;;;1;1;;;;;;;;;;;;1;;
abr/23;;;;;1;1;;;;;;;;;;;;1;;
mai/23;;;;;1;1;;;;;;;;;;;;1;;
jun/23;1;;;;;1;;;;;;;;;;;;1;;
ago/23;2;;;;;;;;;;;;;1;;;;;;
set/23;2;;;;;;;;;;;;;1;;;;;;
out/23;1;;;;;;;;;;;;;2;;;;;;
nov/23;;;;;;;;;;;;;;1;;;;;;
jan/24;;;;;;;;;;;;;;2;;;;;;
mar/24;;;;;;;;;;;;;1;1;;1;;;1;
abr/24;;1;1;2;;;3;5;4;3;;;1;;;;;;1;
mai/24;;1;1;3;;;3;4;4;3;2;1;;;;;;;;1
jun/24;;1;3;2;;;8;7;9;11;2;;;;2;2;4;;;1
jul/24;;1;2;1;;;1;2;1;1;1;;;;2;1;1;;1;1
